Time (s)	Horizontal Distance (m)	Vertical Distance (m)
0.0	0.0	0.0
0.004422919877961832	0.05528649847452291	0.09566316945124323
0.008845839755923663	0.11057299694904582	0.19113462914406712
0.013268759633885494	0.16585949542356873	0.28641437907847167
0.017691679511847327	0.22114599389809164	0.38150241925445694
0.02211459938980916	0.2764324923726146	0.4763987496720229
0.02653751926777099	0.33171899084713746	0.5711033703311694
0.03096043914573282	0.38700548932166035	0.6656162812318968
0.035383359023694654	0.4422919877961833	0.7599374823742047
0.039806278901656486	0.4975784862707062	0.8540669737580934
0.04422919877961832	0.5528649847452292	0.9480047553835627
0.04865211865758015	0.6081514832197521	1.0417508272506126
0.05307503853554198	0.6634379816942749	1.1353051893592432
0.05749795841350381	0.7187244801687979	1.2286678417094545
0.06192087829146564	0.7740109786433207	1.3218387843012465
0.06634379816942748	0.8292974771178437	1.4148180171346192
0.07076671804738931	0.8845839755923666	1.5076055402095725
0.07518963792535113	0.9398704740668894	1.6002013535261064
0.07961255780331297	0.9951569725414124	1.6926054570842213
0.0840354776812748	1.0504434710159354	1.7848178508839165
0.08845839755923664	1.1057299694904583	1.8768385349251928
0.09288131743719846	1.161016467964981	1.968667509208049
0.0973042373151603	1.2163029664395042	2.060304773732487
0.10172715719312213	1.271589464914027	2.1517503284985047
0.10615007707108395	1.3268759633885499	2.2430041735061033
0.1105729969490458	1.3821624618630728	2.3340663087552826
0.11499591682700762	1.4374489603375957	2.424936734246043
0.11941883670496946	1.4927354588121187	2.515615449978384
0.12384175658293128	1.5480219572866414	2.606102455952305
0.12826467646089312	1.6033084557611645	2.6963977521678073
0.13268759633885496	1.6585949542356875	2.7865013386248902
0.13711051621681677	1.7138814527102102	2.876413215323553
0.14153343609477861	1.7691679511847331	2.966133382263798
0.14595635597274045	1.8244544496592563	3.0556618394456225
0.15037927585070227	1.8797409481337788	3.144998586869028
0.1548021957286641	1.935027446608302	3.234143624534014
0.15922511560662594	1.9903139450828249	3.323096952440581
0.16364803548458778	2.045600443557348	3.4118585705887288
0.1680709553625496	2.1008869420318708	3.5004284789784568
0.17249387524051144	2.1561734405063935	3.5888066776097656
0.17691679511847327	2.2114599389809166	3.6769931664826556
0.1813397149964351	2.2667464374554394	3.7649879455971256
0.18576263487439693	2.322032935929962	3.852791014953176
0.19018555475235877	2.3773194344044852	3.940402374550808
0.1946084746303206	2.4326059328790084	4.02782202439002
0.19903139450828242	2.487892431353531	4.115049964470813
0.20345431438624426	2.543178929828054	4.2020861947931865
0.2078772342642061	2.598465428302577	4.288930715357141
0.2123001541421679	2.6537519267770997	4.375583526162676
0.21672307402012975	2.7090384252516224	4.462044627209791
0.2211459938980916	2.7643249237261456	4.548314018498488
0.22556891377605343	2.8196114222006687	4.634391700028765
0.22999183365401524	2.8748979206751915	4.7202776718006225
0.23441475353197708	2.930184419149714	4.805971933814061
0.23883767340993892	2.9854709176242373	4.89147448606908
0.24326059328790076	3.0407574160987605	4.97678532856568
0.24768351316586257	3.0960439145732828	5.061904461303859
0.2521064330438244	3.151330413047806	5.146831884283621
0.25652935292178625	3.206616911522329	5.231567597504962
0.2609522727997481	3.261903409996852	5.3161116009678855
0.2653751926777099	3.317189908471375	5.400463894672388
0.2697981125556717	3.3724764069458972	5.484624478618471
0.27422103243363355	3.4277629054204204	5.568593352806135
0.2786439523115954	3.4830494038949436	5.652370517235381
0.28306687218955723	3.5383359023694663	5.735955971906207
0.28748979206751907	3.5936224008439894	5.819349716818613
0.2919127119454809	3.6489088993185126	5.9025517519726005
0.29633563182344275	3.7041953977930353	5.985562077368169
0.30075855170140453	3.7594818962675576	6.068380693005316
0.30518147157936637	3.8147683947420807	6.151007598884045
0.3096043914573282	3.870054893216604	6.233442795004355
0.31402731133529005	3.9253413916911266	6.315686281366245
0.3184502312132519	3.9806278901656498	6.397738057969717
0.32287315109121373	4.0359143886401725	6.4795981248147685
0.32729607096917557	4.091200887114696	6.561266481901402
0.33171899084713735	4.146487385589218	6.642743129229614
0.3361419107250992	4.2017738840637415	6.724028066799408
0.34056483060306103	4.257060382538264	6.805121294610783
0.34498775048102287	4.312346881012787	6.886022812663738
0.3494106703589847	4.36763337948731	6.966732620958274
0.35383359023694655	4.422919877961833	7.047250719494391
0.3582565101149084	4.478206376436356	7.127577108272088
0.3626794299928702	4.533492874910879	7.207711787291365
0.367102349870832	4.588779373385401	7.287654756552223
0.37152526974879385	4.644065871859924	7.367406016054662
0.3759481896267557	4.699352370334448	7.446965565798683
0.38037110950471753	4.7546388688089705	7.526333405784284
0.38479402938267937	4.809925367283493	7.605509536011465
0.3892169492606412	4.865211865758017	7.684493956480228
0.393639869138603	4.920498364232539	7.763286667190569
0.39806278901656483	4.975784862707062	7.841887668142493
0.4024857088945267	5.031071361181585	7.920296959335998
0.4069086287724885	5.086357859656108	7.9985145407710805
0.41133154865045035	5.141644358130631	8.076540412447747
0.4157544685284122	5.196930856605154	8.154374574365994
0.42017738840637403	5.252217355079677	8.23201702652582
0.4246003082843358	5.307503853554199	8.309467768927226
0.42902322816229765	5.362790352028722	8.386726801570214
0.4334461480402595	5.418076850503245	8.463794124454784
0.43786906791822133	5.473363348977768	8.540669737580933
0.4422919877961832	5.528649847452291	8.617353640948663
0.446714907674145	5.583936345926814	8.693845834557973
0.45113782755210685	5.6392228444013375	8.770146318408866
0.4555607474300687	5.69450934287586	8.846255092501337
0.4599836673080305	5.749795841350383	8.922172156835389
0.4644065871859923	5.805082339824906	8.997897511411024
0.46882950706395415	5.860368838299428	9.073431156228239
